acronym,value,value_mean,value_ipsi,value_contra,value_left,value_right,is_seed,tract_experiment_id
PRNc,0.0007931795646727431,0.0007931795646727431,0.0006357724820777572,0.0009505866654027908,0.0006357724820777572,0.0009505866654027908,False,583747816
PRNr,0.005743639255424792,0.005743639255424792,0.0034256441220674016,0.008061632606877896,0.0034256441220674016,0.008061632606877896,False,583747816
PRP,0.0005176577128934667,0.0005176577128934667,0.0004266354414699916,0.0006086799876666094,0.0004266354414699916,0.0006086799876666094,False,583747816
PRT,0.009211825625522746,0.009211825625522746,0.004100340030846293,0.014323311220199196,0.004100340030846293,0.014323311220199196,False,583747816
PS,0.00023371227439537102,0.00023371227439537102,8.065475121749376e-05,0.0003867697938276307,8.065475121749376e-05,0.0003867697938276307,False,583747816
PST,0.002752002782432421,0.002752002782432421,0.0010321970433819544,0.0044718085170553454,0.0010321970433819544,0.0044718085170553454,False,583747816
PSTN,0.0024034030268900958,0.0024034030268900958,0.000940982480554293,0.0038658235802326787,0.000940982480554293,0.0038658235802326787,False,583747816
PSV,5.3238767635638344e-05,5.3238767635638344e-05,4.68758890589794e-05,5.960164602119851e-05,4.68758890589794e-05,5.960164602119851e-05,False,583747816
PT,0.005904436181716533,0.005904436181716533,0.0038414493238645626,0.007967423029542184,0.0038414493238645626,0.007967423029542184,False,583747816
PTLp,0.0062776809168032756,0.0062776809168032756,0.0038404027458848597,0.008714723322628385,0.0038404027458848597,0.008714723322628385,False,583747816
PVH,0.0005294579358326939,0.0005294579358326939,0.0004742349346678438,0.0005846809319608621,0.0004742349346678438,0.0005846809319608621,False,583747816
PVHd,0.005792269271044091,0.005792269271044091,0.004278888341254238,0.007305650201904717,0.004278888341254238,0.007305650201904717,False,583747816
PVR,0.00045260626834617035,0.00045260626834617035,0.0002128645631065375,0.0006923478985679005,0.0002128645631065375,0.0006923478985679005,False,583747816
PVT,0.002454991261100278,0.002454991261100278,0.001825186761193887,0.003084795761320502,0.001825186761193887,0.003084795761320502,False,583747816
PVZ,0.000475462923002138,0.000475462923002138,0.0003904479944520435,0.0005604778515522313,0.0003904479944520435,0.0005604778515522313,False,583747816
PVa,3.476649330754669e-05,3.476649330754669e-05,1.88795001739074e-05,5.0653486995956715e-05,1.88795001739074e-05,5.0653486995956715e-05,False,583747816
PVi,0.0006307002162153906,0.0006307002162153906,0.0005591898781485649,0.0007022105505838462,0.0005591898781485649,0.0007022105505838462,False,583747816
PVp,0.00020315254361992336,0.00020315254361992336,0.00021613684295473612,0.00019016824399189833,0.00021613684295473612,0.00019016824399189833,False,583747816
PVpo,6.440469101927244e-05,6.440469101927244e-05,3.574096765701709e-05,9.306843258534025e-05,3.574096765701709e-05,9.306843258534025e-05,False,583747816
PYR,2.172801540052015e-06,2.172801540052015e-06,1.970304767290063e-06,2.3752090037180797e-06,1.970304767290063e-06,2.3752090037180797e-06,False,583747816
Pa4,0.0006839522780114195,0.0006839522780114195,0.000346216071351878,0.0010216884876961298,0.000346216071351878,0.0010216884876961298,False,583747816
Pa5,0.0003758485123292114,0.0003758485123292114,0.0003658266655562298,0.00038587036216413166,0.0003658266655562298,0.00038587036216413166,False,583747816
PeF,0.004014440865507016,0.004014440865507016,0.0022001026023379298,0.0058287791255737425,0.0022001026023379298,0.0058287791255737425,False,583747816
PoT,0.00533852126067877,0.00533852126067877,0.001954810497608366,0.008722232028946135,0.001954810497608366,0.008722232028946135,False,583747816
ProS,4.910739477997058e-05,4.910739477997058e-05,2.019189283714069e-05,7.802289658635523e-05,2.019189283714069e-05,7.802289658635523e-05,False,583747816
RAmb,0.0032975499126916274,0.0032975499126916274,0.0024070997066415935,0.00418800011874166,0.0024070997066415935,0.00418800011874166,False,583747816
RCH,0.0002289761279993868,0.0002289761279993868,7.80705642087317e-05,0.00037988168859247144,7.80705642087317e-05,0.00037988168859247144,False,583747816
RE,0.017898013430990917,0.017898013430990917,0.014988814907085772,0.020807211991405256,0.014988814907085772,0.020807211991405256,False,583747816
RH,0.014667638568887097,0.014667638568887097,0.01337007992252657,0.015965197230434994,0.01337007992252657,0.015965197230434994,False,583747816
RHP,0.000563053367248047,0.000563053367248047,0.0004889854083245063,0.0006371210415222628,0.0004889854083245063,0.0006371210415222628,False,583747816
RL,0.0016706346404857866,0.0016706346404857866,0.0012894176532666673,0.0020518516322567733,0.0012894176532666673,0.0020518516322567733,False,583747816
RM,0.002299407062004088,0.002299407062004088,0.0020126435111595662,0.002586170618462624,0.0020126435111595662,0.002586170618462624,False,583747816
RN,0.002983020502259805,0.002983020502259805,0.0016731839380153446,0.004292857080202308,0.0016731839380153446,0.004292857080202308,False,583747816
RO,0.00054184926146286,0.00054184926146286,0.0005683146076906585,0.0005153839160199749,0.0005683146076906585,0.0005153839160199749,False,583747816
RPA,0.0032812429996414553,0.0032812429996414553,0.0028516367102148004,0.003710849287184374,0.0028516367102148004,0.003710849287184374,False,583747816
RPF,0.016949246140622414,0.016949246140622414,0.007561935931890224,0.02633655641339013,0.007561935931890224,0.02633655641339013,False,583747816
